pool	type	individual_id
YS-JXY-1-P	Skin	YS-JXY-1
YS-JXY-1-S	Spleen	YS-JXY-1
YS-JXY-2-B	Brain	YS-JXY-2
YS-JXY-2-G	Gill	YS-JXY-2
YS-JXY-2-H	Liver	YS-JXY-2
YS-JXY-2-I	Intestine	YS-JXY-2
YS-JXY-2-K	Kidney	YS-JXY-2
YS-JXY-2-M	Muscles	YS-JXY-2
YS-JXY-2-P	Skin	YS-JXY-2
YS-JXY-2-S	Spleen	YS-JXY-2
YS-JXY-3-B	Brain	YS-JXY-3
YS-JXY-3-G	Gill	YS-JXY-3
YS-JXY-3-H	Liver	YS-JXY-3
YS-JXY-3-I	Intestine	YS-JXY-3
YS-JXY-3-K	Kidney	YS-JXY-3
YS-JXY-3-M	Muscles	YS-JXY-3
YS-JXY-3-P	Skin	YS-JXY-3
YS-JXY-3-S	Spleen	YS-JXY-3
YS-JZH-1-B	Brain	YS-JZH-1
YS-JZH-1-G	Gill	YS-JZH-1
YS-JZH-1-H	Liver	YS-JZH-1
YS-JZH-1-I	Intestine	YS-JZH-1
YS-JZH-1-K	Kidney	YS-JZH-1
YS-JZH-1-M	Muscles	YS-JZH-1
YS-JZH-1-P	Skin	YS-JZH-1
YS-JZH-1-S	Spleen	YS-JZH-1
YS-JZH-2-B	Brain	YS-JZH-2
YS-JZH-2-G	Gill	YS-JZH-2
YS-JZH-2-H	Liver	YS-JZH-2
YS-JZH-2-I	Intestine	YS-JZH-2
YS-JZH-2-K	Kidney	YS-JZH-2
YS-JZH-2-M	Muscles	YS-JZH-2
YS-JZH-2-P	Skin	YS-JZH-2
YS-JZH-2-S	Spleen	YS-JZH-2
YS-JZH-3-B	Brain	YS-JZH-3
YS-JZH-3-G	Gill	YS-JZH-3
YS-JZH-3-H	Liver	YS-JZH-3
YS-JZH-3-I	Intestine	YS-JZH-3
YS-JZH-3-K	Kidney	YS-JZH-3
YS-JZH-3-M	Muscles	YS-JZH-3
YS-JZH-3-P	Skin	YS-JZH-3
YS-JZH-3-S	Spleen	YS-JZH-3
YS-KSCDXGY-1-B	Brain	YS-KSCDXGY-1
YS-KSCDXGY-1-G	Gill	YS-KSCDXGY-1
YS-KSCDXGY-1-H	Liver	YS-KSCDXGY-1
YS-KSCDXGY-1-I	Intestine	YS-KSCDXGY-1
YS-KSCDXGY-1-K	Kidney	YS-KSCDXGY-1
YS-KSCDXGY-1-M	Muscles	YS-KSCDXGY-1
YS-KSCDXGY-1-P	Skin	YS-KSCDXGY-1
YS-KSCDXGY-1-S	Spleen	YS-KSCDXGY-1
YS-KSCDXGY-2-B	Brain	YS-KSCDXGY-2
YS-KSCDXGY-2-G	Gill	YS-KSCDXGY-2
YS-KSCDXGY-2-H	Liver	YS-KSCDXGY-2
YS-KSCDXGY-2-I	Intestine	YS-KSCDXGY-2
YS-KSCDXGY-2-K	Kidney	YS-KSCDXGY-2
YS-KSCDXGY-2-M	Muscles	YS-KSCDXGY-2
YS-KSCDXGY-2-P	Skin	YS-KSCDXGY-2
YS-KSCDXGY-2-S	Spleen	YS-KSCDXGY-2
YS-KSCDXGY-3-B	Brain	YS-KSCDXGY-3
YS-KSCDXGY-3-G	Gill	YS-KSCDXGY-3
YS-KSCDXGY-3-H	Liver	YS-KSCDXGY-3
YS-KSCDXGY-3-I	Intestine	YS-KSCDXGY-3
YS-KSCDXGY-3-K	Kidney	YS-KSCDXGY-3
YS-KSCDXGY-3-M	Muscles	YS-KSCDXGY-3
YS-KSCDXGY-3-P	Skin	YS-KSCDXGY-3
YS-KSCDXGY-3-S	Spleen	YS-KSCDXGY-3
YS-LBYKF-1-B	Brain	YS-LBYKF-1
YS-LBYKF-1-G	Gill	YS-LBYKF-1
YS-LBYKF-1-H	Liver	YS-LBYKF-1
YS-LBYKF-1-I	Intestine	YS-LBYKF-1
YS-LBYKF-1-K	Kidney	YS-LBYKF-1
YS-LBYKF-1-M	Muscles	YS-LBYKF-1
YS-LBYKF-1-P	Skin	YS-LBYKF-1
YS-LBYKF-1-S	Spleen	YS-LBYKF-1
YS-LBYKF-2-B	Brain	YS-LBYKF-2
YS-LBYKF-2-G	Gill	YS-LBYKF-2
YS-LBYKF-2-H	Liver	YS-LBYKF-2
YS-LBYKF-2-I	Intestine	YS-LBYKF-2
YS-LBYKF-2-K	Kidney	YS-LBYKF-2
YS-LBYKF-2-M	Muscles	YS-LBYKF-2
YS-LBYKF-2-P	Skin	YS-LBYKF-2
