individual_id	organ_code	tissue	lib_index
YS-HKL-3	I	Intestine	YS-HKL-3-I
YS-HKL-3	K	Kidney	YS-HKL-3-K
YS-HKL-3	M	Muscles	YS-HKL-3-M
YS-HKL-3	P	Skin	YS-HKL-3-P
YS-HKL-3	S	Spleen	YS-HKL-3-S
YS-HM-1	B	Brain	YS-HM-1-B
YS-HM-1	G	Gill	YS-HM-1-G
YS-HM-1	H	Liver	YS-HM-1-H
YS-HM-1	I	Intestine	YS-HM-1-I
YS-HM-1	K	Kidney	YS-HM-1-K
YS-HM-1	M	Muscles	YS-HM-1-M
YS-HM-1	P	Skin	YS-HM-1-P
YS-HM-1	S	Spleen	YS-HM-1-S
YS-HM-2	B	Brain	YS-HM-2-B
YS-HM-2	G	Gill	YS-HM-2-G
YS-HM-2	H	Liver	YS-HM-2-H
YS-HM-2	I	Intestine	YS-HM-2-I
YS-HM-2	K	Kidney	YS-HM-2-K
YS-HM-2	M	Muscles	YS-HM-2-M
YS-HM-2	P	Skin	YS-HM-2-P
YS-HM-2	S	Spleen	YS-HM-2-S
YS-HM-3	B	Brain	YS-HM-3-B
YS-HM-3	G	Gill	YS-HM-3-G
YS-HM-3	H	Liver	YS-HM-3-H
YS-HM-3	I	Intestine	YS-HM-3-I
YS-HM-3	K	Kidney	YS-HM-3-K
YS-HM-3	M	Muscles	YS-HM-3-M
YS-HM-3	P	Skin	YS-HM-3-P
YS-HM-3	S	Spleen	YS-HM-3-S
YS-HM-4	B	Brain	YS-HM-4-B
YS-HM-4	G	Gill	YS-HM-4-G
YS-HM-4	H	Liver	YS-HM-4-H
YS-HM-4	I	Intestine	YS-HM-4-I
YS-HM-4	K	Kidney	YS-HM-4-K
YS-HM-4	M	Muscles	YS-HM-4-M
YS-HM-4	P	Skin	YS-HM-4-P
YS-HM-4	S	Spleen	YS-HM-4-S
YS-HSLT-1	B	Brain	YS-HSLT-1-B
YS-HSLT-1	G	Gill	YS-HSLT-1-G
YS-HSLT-1	H	Liver	YS-HSLT-1-H
YS-HSLT-1	I	Intestine	YS-HSLT-1-I
YS-HSLT-1	K	Kidney	YS-HSLT-1-K
YS-HSLT-1	M	Muscles	YS-HSLT-1-M
YS-HSLT-1	P	Skin	YS-HSLT-1-P
YS-HSLT-1	S	Spleen	YS-HSLT-1-S
YS-HSLT-2	B	Brain	YS-HSLT-2-B
YS-HSLT-2	G	Gill	YS-HSLT-2-G
YS-HSLT-2	H	Liver	YS-HSLT-2-H
YS-HSLT-2	I	Intestine	YS-HSLT-2-I
YS-HSLT-2	K	Kidney	YS-HSLT-2-K
YS-HSLT-2	M	Muscles	YS-HSLT-2-M
YS-HSLT-2	P	Skin	YS-HSLT-2-P
YS-HSLT-2	S	Spleen	YS-HSLT-2-S
YS-HSLT-3	B	Brain	YS-HSLT-3-B
YS-HSLT-3	G	Gill	YS-HSLT-3-G
YS-HSLT-3	H	Liver	YS-HSLT-3-H
