"lib_index","abundance_RPM","individual_id","tissue_types","log10_RPM_plus_1"
"YS-CC-1-K",2.972979526,"YS-CC-1","Kidney",0.5991163270065
"YS-CC-2-K",0,"YS-CC-2","Kidney",0
"YS-CC-3-K",98.95624699,"YS-CC-3","Kidney",1.99980994151072
"YS-CHLT-1-K",0,"YS-CHLT-1","Kidney",0
"YS-CHLT-2-K",0,"YS-CHLT-2","Kidney",0
"YS-CHLT-3-K",42.5583303,"YS-CHLT-3","Kidney",1.63907122380655
"YS-CTSZ-1-K",111.253889665,"YS-CTSZ-1","Kidney",2.0502013985019
"YS-CTSZ-2-K",240.322605714,"YS-CTSZ-2","Kidney",2.38259800602404
"YS-CTSZ-3-K",4.814694411,"YS-CTSZ-3","Kidney",0.764526895486861
"YS-DHY-1-K",0,"YS-DHY-1","Kidney",0
"YS-DHY-2-K",0,"YS-DHY-2","Kidney",0
"YS-DLLY-1-K",0,"YS-DLLY-1","Kidney",0
"YS-DSLT-1-K",0,"YS-DSLT-1","Kidney",0
"YS-DSLT-2-K",1.712438238,"YS-DSLT-2","Kidney",0.433359858118829
"YS-DSLT-3-K",0,"YS-DSLT-3","Kidney",0
"YS-DZTT-1-K",0,"YS-DZTT-1","Kidney",0
"YS-HBSZ-1-K",0,"YS-HBSZ-1","Kidney",0
"YS-HBSZ-2-K",5.26856028229636,"YS-HBSZ-2","Kidney",0.797167806659829
"YS-HBSZ-3-K",0,"YS-HBSZ-3","Kidney",0
"YS-HJ-1-K",0,"YS-HJ-1","Kidney",0
"YS-HJ-2-K",0,"YS-HJ-2","Kidney",0
"YS-HJ-3-K",0,"YS-HJ-3","Kidney",0
"YS-HJ-4-K",0,"YS-HJ-4","Kidney",0
"YS-HJ-5-K",0,"YS-HJ-5","Kidney",0
"YS-HJ-6-K",0,"YS-HJ-6","Kidney",0
"YS-HKL-1-K",0,"YS-HKL-1","Kidney",0
"YS-HKL-2-K",0,"YS-HKL-2","Kidney",0
"YS-HKL-3-K",0,"YS-HKL-3","Kidney",0
"YS-HM-1-K",1.538723882,"YS-HM-1","Kidney",0.404615468481155
"YS-HM-2-K",0,"YS-HM-2","Kidney",0
"YS-HM-3-K",0,"YS-HM-3","Kidney",0
"YS-HM-4-K",3.144090212,"YS-HM-4","Kidney",0.617429200923316
"YS-HSLT-1-K",0,"YS-HSLT-1","Kidney",0
"YS-HSLT-2-K",0,"YS-HSLT-2","Kidney",0
"YS-HSLT-3-K",0,"YS-HSLT-3","Kidney",0
"YS-JSXSD-1-K",0,"YS-JSXSD-1","Kidney",0
"YS-JSXSD-2-K",8.508222304,"YS-JSXSD-2","Kidney",0.978099327060336
"YS-JSXSD-3-K",0,"YS-JSXSD-3","Kidney",0
"YS-JTZCS-1-K",1.651636341,"YS-JTZCS-1","Kidney",0.423513962445211
"YS-JXY-1-K",0,"YS-JXY-1","Kidney",0
"YS-JXY-2-K",0,"YS-JXY-2","Kidney",0
"YS-JXY-3-K",1856.944308,"YS-JXY-3","Kidney",3.26903269184773
"YS-JZH-1-K",0,"YS-JZH-1","Kidney",0
"YS-JZH-2-K",0,"YS-JZH-2","Kidney",0
