source	target	host_label	host_species	host_class	host_order	pathogen	RPM	log10_RPM_plus1
host::Po. sextarius	pathogen::Toxocara sp. CTSZ	Po. sextarius	Polydactylus sextarius	Actinopteri	Carangaria incertae sedis	Toxocara sp. CTSZ	76.14337758900001	1.8872986497770057
host::De. maruadsi	pathogen::Toxocara sp. CTSZ	De. maruadsi	Decapterus maruadsi	Actinopteri	Carangiformes	Toxocara sp. CTSZ	23.129465652	1.382547704546277
host::Th. kammalensis	pathogen::Toxocara sp. CTSZ	Th. kammalensis	Thryssa kammalensis	Actinopteri	Clupeiformes	Toxocara sp. CTSZ	23.04784733	1.381076206092591
host::Pe. macrocephala	pathogen::Toxocara sp. CTSZ	Pe. macrocephala	Pennahia macrocephala	Actinopteri	Eupercaria incertae sedis	Toxocara sp. CTSZ	83.59898453	1.9273651500879083
host::Be. pterotum	pathogen::Toxocara sp. CTSZ	Be. pterotum	Benthosema pterotum	Actinopteri	Myctophiformes	Toxocara sp. CTSZ	732.462011847	2.8653776253743124
host::Ps. anomala	pathogen::Toxocara sp. CTSZ	Ps. anomala	Psenopsis anomala	Actinopteri	Scombriformes	Toxocara sp. CTSZ	20.024380573	1.3227232093360193
host::Pa. sulcatus	pathogen::Toxocara sp. CTSZ	Pa. sulcatus	Paramonacanthus sulcatus	Actinopteri	Tetraodontiformes	Toxocara sp. CTSZ	66.749845542	1.830908309430819
host::Co. mystus	pathogen::Toxocara sp. HBSXST	Co. mystus	Coilia mystus	Actinopteri	Clupeiformes	Toxocara sp. HBSXST	9.736467075	1.0308613966105689
host::Cy. gracilis	pathogen::Toxocara sp. HBSXST	Cy. gracilis	Cynoglossus gracilis	Actinopteri	Pleuronectiformes	Toxocara sp. HBSXST	45.88679285	1.6710505271473943
host::De. maruadsi	pathogen::Toxocara sp. LYS	De. maruadsi	Decapterus maruadsi	Actinopteri	Carangiformes	Toxocara sp. LYS	24.438462713	1.4054908626590048
host::Co. mystus	pathogen::Strigeidida sp. FJ	Co. mystus	Coilia mystus	Actinopteri	Clupeiformes	Strigeidida sp. FJ	7.430923247000001	0.9258751356120098
host::Sa. undosquamis	pathogen::Taeniidae sp. HBSZ	Sa. undosquamis	Saurida undosquamis	Actinopteri	Aulopiformes	Taeniidae sp. HBSZ	1.886031544	0.4603010735732309
host::Il. elongata	pathogen::Taeniidae sp. HBSZ	Il. elongata	Ilisha elongata	Actinopteri	Clupeiformes	Taeniidae sp. HBSZ	2.160702625	0.4997836371249858
host::Le. savala	pathogen::Taeniidae sp. HBSZ	Le. savala	Lepturacanthus savala	Actinopteri	Scombriformes	Taeniidae sp. HBSZ	3.007589971	0.602883281112326
host::Sa. zunasi	pathogen::Taeniidae sp. QLXSDD	Sa. zunasi	Sardinella zunasi	Actinopteri	Clupeiformes	Taeniidae sp. QLXSDD	1.987511183	0.4753095396318765
host::Si. canaliculatus	pathogen::Taeniidae sp. QLXSDD	Si. canaliculatus	Siganus canaliculatus	Actinopteri	Eupercaria incertae sedis	Taeniidae sp. QLXSDD	1.980423402	0.4742779647777438
host::Be. pterotum	pathogen::Taeniidae sp. QLXSDD	Be. pterotum	Benthosema pterotum	Actinopteri	Myctophiformes	Taeniidae sp. QLXSDD	8.83607253	0.9928217225130638
host::Le. savala	pathogen::Taeniidae sp. QLXSDD	Le. savala	Lepturacanthus savala	Actinopteri	Scombriformes	Taeniidae sp. QLXSDD	15.52670313	1.2181862259094167
host::Sa. undosquamis	pathogen::Taeniidae sp. LZY	Sa. undosquamis	Saurida undosquamis	Actinopteri	Aulopiformes	Taeniidae sp. LZY	9.097684226	1.0042217853483757
host::El. tetradactylum	pathogen::Opisthorchiidae sp. SZMB	El. tetradactylum	Eleutheronema tetradactylum	Actinopteri	Carangaria incertae sedis	Opisthorchiidae sp. SZMB	1.240796743	0.3504024645685662
host::Be. pterotum	pathogen::Hydatigera sp. SDYY	Be. pterotum	Benthosema pterotum	Actinopteri	Myctophiformes	Hydatigera sp. SDYY	3.35835967	0.6393230671793695
host::Le. savala	pathogen::Hydatigera sp. SDYY	Le. savala	Lepturacanthus savala	Actinopteri	Scombriformes	Hydatigera sp. SDYY	4.430759522	0.7348605723413871
host::Ar. arius	pathogen::Lepeophtheirus sp. SQHN	Ar. arius	Arius arius	Actinopteri	Siluriformes	Lepeophtheirus sp. SQHN	2.05640055529669	0.4852102699152664
host::Pa. sulcatus	pathogen::Caligus sp. RWXLT	Pa. sulcatus	Paramonacanthus sulcatus	Actinopteri	Tetraodontiformes	Caligus sp. RWXLT	14.21760188222111	1.182346218047081
